-------------- Test -------------
          Loss:  1.310 | Acc:  61.761 % | AUC:0.5
         1: Precision: 0.49848331648129424 | recall: 0.493 | f1 score: 0.49572649572649574
         2: Precision: 0.6336158192090395 | recall: 0.7476666666666667 | f1 score: 0.6859327217125383
         3: Precision: 0.6870801437275426 | recall: 0.733 | f1 score: 0.7092976372873155
         4: Precision: 0.5578839764886276 | recall: 0.36383333333333334 | f1 score: 0.44043175627963277
         5: Precision: 0.6671157214064395 | recall: 0.8253333333333334 | f1 score: 0.7378380391864711
         6: Precision: 0.7821466524973433 | recall: 0.736 | f1 score: 0.7583719732096857
         7: Precision: 0.6891845786421017 | recall: 0.33666666666666667 | f1 score: 0.4523569589071773
         8: Precision: 0.46437600551597336 | recall: 0.6735 | f1 score: 0.5497211263773637
         9: Precision: 0.6647516679021498 | recall: 0.597932988831472 | f1 score: 0.6295743747257568
         10: Precision: 0.6108321923018408 | recall: 0.6691666666666667 | f1 score: 0.6386701662292215
         macro avg: Precision: 0.6255470074172351 | recall: 0.617609965549814 | f1 score: 0.6097921249641659      
         weighted avg: Precision: 0.6255463539953369 | recall: 0.6176102935048917 | f1 score: 0.6097917952545079 
